link,phanLoai,boNganh
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14457&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15151&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14458&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15150&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14459&row_limit=1,"['Công dân', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15149&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14460&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15148&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14461&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15147&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14462&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15144&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15146&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15145&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14463&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15143&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14466&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15142&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14467&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15141&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15140&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14468&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14469&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15139&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
